anoInicio,id,nome,coordenador,campusLotacao,campusExecucao,area,financiamentos,atualizadoEm,parecer
2026,PJ 9751,Sentir para Conservar: A Trilha das Abelhas Nativas,KATIA APARECIDA KERN CARDOSO,Linhares,Linhares,Biologia Geral,1,27/08/2026 15:32:17,Aprovado
2025,PJ 9708,CADEIA PRODUTIVA DOS PRODUTOS HORTIFRUTI NO MUNICÍPIO DE PORTO ACRE,Lilliane Maria de Oliveira Martins,Linhares,Linhares,Agronomia,0,08/06/2026 21:27:44,Aprovado
2026,PJ 9707,Adoção de Novas Tecnologias por Pequenos Produtores: Barreiras e Oportunidades,Lilliane Maria de Oliveira Martins,Linhares,Linhares,Agronomia,0,08/06/2026 21:28:37,Aprovado
2026,PJ 9691,Desenvolvimento de Conteúdos Audiovisuais e Digitais para o Ensino de Astronomia,Ricardo Rodrigo Silva Lopes,Linhares,Linhares,Ensino,0,24/06/2026 12:12:20,Aprovado
2026,PJ 9657,Planta Didática Modular para Ensino de Automação Industrial Baseada em CLP (PLC),Ronaldo Do Amaral Oliveira,Linhares,Linhares,Agronomia,0,04/05/2026 22:52:01,Aprovado
2026,PJ 9647,Sistema inteligente com arquitetura REST e redes neurais para diagnóstico de máquinas rotativas por análise de vibração,Alex Brandão Rossow,Linhares,Linhares,Engenharia Elétrica,0,27/08/2026 14:22:23,Aprovado
2026,PJ 9645,Literatura & Teatro: mediação de leitura dos clássicos no Ensino Médio,Adriana Pin,Linhares,Linhares,Letras,0,04/05/2026 22:28:38,Aprovado
2026,PJ 9633,Assistente 01: Plataforma de Gestão de Assistências Técnicas Potencializada por Inteligência Artificial,Joao Antonio Campos Panceri,Linhares,Linhares,Ciência da Computação,0,11/05/2026 11:25:58,Aprovado
2026,PJ 9626,Análise Comparativa de Estratégias de Controle para a Regulação de Frequência em Microrredes com Penetração de Recursos Energéticos Distribuídos,Roberto Felipe Andrade Menezes,Linhares,Linhares,Engenharia Elétrica,0,24/08/2026 14:40:01,Aprovado
2026,PJ 9602,Estudo Comparativo entre PLA e PET reciclado para impressão 3D através de caracterização mecânica,FRANCISCO ANDSON MARQUES,Linhares,Linhares,Engenharia Mecânica,0,28/05/2026 21:43:49,Aprovado
2026,PJ 9545,Desenvolvimento de uma ferramenta de correção automatizada de resumos manuscritos baseada em modelos multimodais de linguagem,Lucas Vago Santana,Linhares,Linhares,Ciência da Computação,0,10/08/2026 07:16:43,Aprovado
2026,PJ 9526,Desenvolvimento de um Sistema com Recursos Didáticos em Impressão 3D para Simulação de Operações em Centros de Distribuição Logísticos.,VALQUIRIA CONSTANCIO BATISTA,Linhares,Linhares,Engenharia Elétrica,0,03/08/2026 12:32:50,Aprovado
2026,PJ 9507,Raciocínio hierárquico e verificação visual em malha fechada com modelos de visão-linguagem para manipulação robótica em ambiente simulado,Lucas Vago Santana,Linhares,Linhares,Engenharia Elétrica,0,10/08/2026 07:13:51,Aprovado
2026,PJ 9417,Assistente 01,GUILHERME MATIAS FRATESCHI FELÍCIO,Linhares,Linhares,Outros,0,04/05/2026 16:44:15,Recusado
2026,PJ 9334,Retrofit com o uso de microcontroladores de placas analógicas de acionamento de motor DC,Carlos Torturella Valadão,Linhares,Linhares,Engenharia Elétrica,0,27/08/2026 00:11:56,Aprovado
2025,PJ 9311,Apropriação da leitura e da escrita de estudantes do ensino médio atendidos pela Educação Especial: articulação entre a teoria do desenvolvimento humano de Vygotsky e o método silábico,Merislandia Paulo da Silva Carvalho,Linhares,Linhares,Educação,2,20/07/2026 10:27:57,Aprovado
2026,PJ 9275,Desenvolvimento e caracterização de células solares sensibilizadas por corantes naturais de macropitílio e cacau dopadas com metal,Tales Costa De Freitas,Linhares,Linhares,Física,0,07/08/2026 09:36:23,Aprovado
2026,PJ 9231,Colmeias do Futuro: Impressão 3D e Preservação de Abelhas Nativas na Escola,Claudio Sergio Marinato,Linhares,Linhares,Educação,5,30/06/2026 14:01:34,Salvo
2026,PJ 9214,Uso de antocianinas extraídas da casca do cacau como inibidores de corrosão do aço.,Marcio Vieira Rodrigues,Linhares,Aracruz,Química,0,13/02/2026 14:42:39,Aprovado
2025,PJ 9069,Desenvolvimento de técnica espectroscópica aplicada à detecção de compostos indicadores de qualidade no cacau fermentado na região de Linhares–ES,Ronaldo Barros Orfão Junior,Linhares,Linhares,Química,0,05/03/2026 12:26:44,Aprovado
2025,PJ 9012,"Ressonância das Características do Comportamento Empreendedor do Discentes do IFES – Campus Linhares como estimulo para avaliar a eficácia dos programas de empreendedorismo e ajustes curriculares, incentivando a inovação e criatividade.",Reginaldo Vasconcelos Sena,Linhares,Linhares,Administração,0,04/08/2026 17:57:07,Aprovado
2025,PJ 9008,Literatura & Teatro: mediação de leitura dos clássicos no Ensino Médio,Adriana Pin,Linhares,Linhares,Letras,0,05/03/2026 12:29:36,Aprovado
2025,PJ 8994,Automação residencial com o microcontroladores ESP32,Alex Brandão Rossow,Linhares,Linhares,Engenharia Elétrica,0,02/09/2025 17:04:50,Aprovado
2025,PJ 8977,Sistema Automatizado baseado em ESP32 para Rebobinamento de Motores Elétricos de Pequeno Porte,Ronaldo Do Amaral Oliveira,Linhares,Linhares,Engenharia Elétrica,0,02/09/2025 17:05:55,Aprovado
2025,PJ 8969,Aplicativo Educacional para Apoiar a Produção Científica no Ensino Superior,VALQUIRIA CONSTANCIO BATISTA,Linhares,Colatina,Ciência da Computação,0,24/08/2026 11:44:36,Aprovado
2025,PJ 8957,CosmoSaber: uso de mídias digitais para ensino de Astronomia,Ricardo Rodrigo Silva Lopes,Linhares,Linhares,Astronomia,0,26/02/2026 17:18:10,Aprovado
2025,PJ 8956,Medidor IoT de Energia com Controle Remoto por Aplicativo Móvel Baseado em ESP32,Ronaldo Do Amaral Oliveira,Linhares,Linhares,Engenharia Elétrica,0,02/09/2025 17:07:26,Aprovado
2025,PJ 8885,"Modelagem, Simulação e Controle Inteligente de Drones Quadricópteros com Trajetórias Otimizadas",Roberto Felipe Andrade Menezes,Linhares,Linhares,Engenharia Elétrica,0,23/05/2026 20:34:20,Aprovado
2025,PJ 8858,Aprimoramento de SLAM com Inteligência Artificial para Robôs Móveis,Carlos Torturella Valadão,Linhares,Linhares,Engenharia Elétrica,0,03/09/2025 09:00:41,Aprovado
2025,PJ 8857,Aplicação de Inteligência Artificial no Monitoramento e Otimização de Impressoras 3D de Baixo Custo,Carlos Torturella Valadão,Linhares,Linhares,Engenharia Elétrica,0,03/09/2025 09:01:02,Aprovado
2025,PJ 8704,DESENVOLVIMENTO DE ROBÔS MÓVEIS COM MAPEAMENTO E NAVEGAÇÃO AUTÔNOMA BASEADOS EM LiDAR E SLAM,Ronaldo Do Amaral Oliveira,Linhares,Linhares,Agronomia,0,02/09/2025 17:11:39,Aprovado
2025,PJ 8698,Avaliação do nível de atividade física dos servidores do Ifes campus Linhares,André Leite Serafim,Linhares,Linhares,Educação Física,0,03/09/2025 09:01:23,Aprovado
